Power Generated, Run #1
Time ( s )	Power Generated ( W )
195,500	1,713E-3
195,600	1,713E-3
195,700	1,709E-3
195,800	1,702E-3
195,900	1,697E-3
196,000	1,695E-3
196,100	1,688E-3
196,200	1,684E-3
196,300	1,681E-3
196,400	1,673E-3
196,500	1,670E-3
196,600	1,662E-3
196,700	1,649E-3
196,800	1,638E-3
196,900	1,632E-3
197,000	1,625E-3
197,100	1,618E-3
197,200	1,612E-3
197,300	1,604E-3
197,400	1,600E-3
197,500	1,599E-3
197,600	1,595E-3
197,700	1,591E-3
197,800	1,589E-3
197,900	1,583E-3
198,000	1,577E-3
198,100	1,573E-3
198,200	1,568E-3
198,300	1,561E-3
198,400	1,552E-3
198,500	1,545E-3
198,600	1,537E-3
198,700	1,529E-3
198,800	1,523E-3
198,900	1,514E-3
199,000	1,505E-3
199,100	1,499E-3
199,200	1,496E-3
199,300	1,490E-3
199,400	1,486E-3
199,500	1,483E-3
199,600	1,479E-3
199,700	1,474E-3
199,800	1,471E-3
199,900	1,467E-3
200,000	1,465E-3
200,100	1,462E-3
200,200	1,460E-3
200,300	1,455E-3
200,400	1,450E-3
200,500	1,443E-3
200,600	1,436E-3
200,700	1,428E-3
200,800	1,417E-3
200,900	1,406E-3
201,000	1,395E-3
201,100	1,390E-3
201,200	1,387E-3
201,300	1,382E-3
201,400	1,379E-3
201,500	1,377E-3
201,600	1,377E-3
201,700	1,376E-3
201,800	1,375E-3
201,900	1,369E-3
202,000	1,364E-3
202,100	1,359E-3
202,200	1,355E-3
202,300	1,350E-3
202,400	1,347E-3
202,500	1,344E-3
202,600	1,341E-3
202,700	1,337E-3
202,800	1,329E-3
202,900	1,326E-3
203,000	1,326E-3
203,100	1,323E-3
203,200	1,320E-3
203,300	1,320E-3
203,400	1,318E-3
203,500	1,314E-3
203,600	1,313E-3
203,700	1,308E-3
203,800	1,301E-3
203,900	1,296E-3
204,000	1,290E-3
204,100	1,281E-3
204,200	1,273E-3
204,300	1,266E-3
204,400	1,258E-3
204,500	1,253E-3
204,600	1,246E-3
204,700	1,244E-3
204,800	1,240E-3
204,900	1,234E-3
205,000	1,230E-3
205,100	1,230E-3
205,200	1,228E-3
205,300	1,222E-3
205,400	1,214E-3
205,500	1,204E-3
205,600	1,195E-3
205,700	1,192E-3
205,800	1,189E-3
205,900	1,182E-3
206,000	1,176E-3
206,100	1,174E-3
206,200	1,174E-3
206,300	1,170E-3
206,400	1,170E-3
206,500	1,167E-3
206,600	1,161E-3
206,700	1,158E-3
206,800	1,156E-3
206,900	1,154E-3
207,000	1,155E-3
207,100	1,159E-3
207,200	1,156E-3
207,300	1,152E-3
207,400	1,151E-3
207,500	1,150E-3
207,600	1,149E-3
207,700	1,147E-3
207,800	1,142E-3
207,900	1,132E-3
208,000	1,126E-3
208,100	1,124E-3
208,200	1,118E-3
208,300	1,112E-3
208,400	1,107E-3
208,500	1,101E-3
208,600	1,092E-3
208,700	1,088E-3
208,800	1,085E-3
208,900	1,077E-3
209,000	1,072E-3
209,100	1,070E-3
209,200	1,066E-3
209,300	1,062E-3
209,400	1,065E-3
209,500	1,068E-3
209,600	1,070E-3
209,700	1,072E-3
209,800	1,071E-3
