Power, Run #1
Time ( s )	Input Power ( W )
84,200	1,691
84,300	1,691
84,400	1,689
84,500	1,691
84,600	1,689
84,700	1,689
84,800	1,689
84,900	1,689
85,000	1,687
85,100	1,690
85,200	1,687
85,300	1,690
85,400	1,687
85,500	1,688
85,600	1,688
85,700	1,685
85,800	1,688
85,900	1,685
86,000	1,685
86,100	1,685
86,200	1,686
86,300	1,686
86,400	1,686
86,500	1,686
86,600	1,683
86,700	1,681
86,800	1,681
86,900	1,684
87,000	1,684
87,100	1,682
87,200	1,684
87,300	1,682
87,400	1,682
87,500	1,684
87,600	1,680
87,700	1,682
87,800	1,682
87,900	1,680
88,000	1,680
88,100	1,680
88,200	1,678
88,300	1,680
88,400	1,680
88,500	1,678
88,600	1,678
88,700	1,678
88,800	1,678
88,900	1,674
89,000	1,676
89,100	1,678
89,200	1,678
89,300	1,676
89,400	1,676
89,500	1,675
89,600	1,676
89,700	1,675
89,800	1,675
89,900	1,675
90,000	1,675
90,100	1,675
90,200	1,677
90,300	1,673
90,400	1,675
90,500	1,675
90,600	1,675
90,700	1,675
90,800	1,673
90,900	1,671
91,000	1,671
91,100	1,671
91,200	1,671
91,300	1,671
91,400	1,669
91,500	1,671
91,600	1,669
91,700	1,671
91,800	1,671
91,900	1,667
92,000	1,671
92,100	1,670
92,200	1,671
92,300	1,667
92,400	1,667
92,500	1,670
92,600	1,670
92,700	1,668
92,800	1,670
92,900	1,668
93,000	1,665
93,100	1,668
93,200	1,666
93,300	1,668
93,400	1,665
93,500	1,666
93,600	1,666
93,700	1,666
93,800	1,666
93,900	1,666
94,000	1,664
94,100	1,664
94,200	1,666
94,300	1,664
94,400	1,664
94,500	1,666
94,600	1,664
94,700	1,664
94,800	1,662
94,900	1,662
95,000	1,662
95,100	1,662
95,200	1,662
95,300	1,665
95,400	1,665
95,500	1,662
95,600	1,660
95,700	1,660
95,800	1,660
95,900	1,660
96,000	1,660
96,100	1,658
96,200	1,658
96,300	1,661
96,400	1,658
96,500	1,658
96,600	1,658
96,700	1,661
96,800	1,661
96,900	1,657
97,000	1,657
97,100	1,659
97,200	1,658
97,300	1,657
97,400	1,659
97,500	1,657
97,600	1,659
97,700	1,659
97,800	1,655
97,900	1,655
98,000	1,657
98,100	1,657
98,200	1,655
98,300	1,655
98,400	1,655
98,500	1,655
98,600	1,655
98,700	1,653
98,800	1,653
98,900	1,653
99,000	1,655
99,100	1,655
99,200	1,651
99,300	1,653
99,400	1,653
99,500	1,653
99,600	1,653
99,700	1,651
99,800	1,651
99,900	1,651
100,000	1,653
100,100	1,651
100,200	1,651
100,300	1,651
100,400	1,649
100,500	1,649
100,600	1,650
100,700	1,650
100,800	1,650
100,900	1,650
101,000	1,650
101,100	1,650
101,200	1,650
101,300	1,650
101,400	1,650
101,500	1,650
101,600	1,650
101,700	1,650
101,800	1,648
101,900	1,646
102,000	1,645
102,100	1,648
102,200	1,648
102,300	1,648
102,400	1,646
102,500	1,646
102,600	1,646
102,700	1,646
102,800	1,648
102,900	1,646
103,000	1,646
103,100	1,646
103,200	1,648
103,300	1,646
103,400	1,646
103,500	1,646
103,600	1,644
103,700	1,644
103,800	1,642
103,900	1,642
104,000	1,644
104,100	1,644
104,200	1,644
104,300	1,642
104,400	1,642
104,500	1,644
104,600	1,644
104,700	1,642
104,800	1,642
104,900	1,644
105,000	1,643
105,100	1,640
105,200	1,643
105,300	1,640
105,400	1,640
105,500	1,640
105,600	1,643
105,700	1,638
105,800	1,641
105,900	1,643
106,000	1,638
106,100	1,643
106,200	1,638
106,300	1,638
106,400	1,638
106,500	1,641
106,600	1,636
106,700	1,641
106,800	1,641
106,900	1,639
107,000	1,638
107,100	1,639
107,200	1,639
107,300	1,639
107,400	1,637
107,500	1,637
107,600	1,637
107,700	1,639
107,800	1,639
107,900	1,637
108,000	1,637
108,100	1,637
108,200	1,635
108,300	1,637
108,400	1,635
108,500	1,637
108,600	1,635
108,700	1,635
108,800	1,635
108,900	1,635
109,000	1,635
109,100	1,635
109,200	1,635
109,300	1,635
109,400	1,635
109,500	1,635
109,600	1,633
109,700	1,635
109,800	1,633
109,900	1,633
110,000	1,633
110,100	1,633
110,200	1,631
110,300	1,633
110,400	1,631
110,500	1,631
110,600	1,633
110,700	1,631
110,800	1,631
110,900	1,633
111,000	1,631
111,100	1,631
111,200	1,629
111,300	1,629
111,400	1,634
111,500	1,631
111,600	1,631
111,700	1,631
111,800	1,629
111,900	1,629
112,000	1,629
112,100	1,629
112,200	1,629
112,300	1,629
112,400	1,629
112,500	1,629
112,600	1,630
112,700	1,629
112,800	1,628
112,900	1,628
113,000	1,626
113,100	1,630
113,200	1,630
113,300	1,626
113,400	1,626
113,500	1,628
113,600	1,628
113,700	1,628
113,800	1,626
113,900	1,628
114,000	1,626
114,100	1,626
114,200	1,626
114,300	1,628
114,400	1,624
114,500	1,624
114,600	1,626
114,700	1,626
114,800	1,628
114,900	1,626
115,000	1,626
115,100	1,628
115,200	1,624
115,300	1,626
115,400	1,626
115,500	1,626
115,600	1,624
115,700	1,624
115,800	1,624
115,900	1,624
116,000	1,624
116,100	1,626
116,200	1,622
116,300	1,624
116,400	1,624
116,500	1,624
116,600	1,622
116,700	1,624
116,800	1,624
116,900	1,624
117,000	1,624
117,100	1,624
117,200	1,622
117,300	1,622
117,400	1,622
117,500	1,622
117,600	1,622
117,700	1,622
117,800	1,621
117,900	1,622
118,000	1,622
118,100	1,622
118,200	1,622
118,300	1,622
118,400	1,621
118,500	1,621
118,600	1,621
118,700	1,618
118,800	1,621
118,900	1,621
119,000	1,619
119,100	1,621
119,200	1,621
119,300	1,621
