Tc Initial, Run #1
Time ( s )	Y (  )
129,350	21,933
129,450	21,933
129,550	21,933
129,650	21,933
129,750	21,933
129,850	21,933
129,950	21,933
130,050	21,933
130,150	21,933
130,250	21,933
130,350	21,933
130,450	21,933
130,550	21,933
130,650	21,933
130,750	21,933
130,850	21,933
130,950	21,933
131,050	21,933
131,150	21,933
131,250	21,933
131,350	21,933
131,450	21,933
131,550	21,933
131,650	21,933
131,750	21,933
131,850	21,933
131,950	21,933
132,050	21,933
132,150	21,933
132,250	21,933
132,350	21,933
132,450	21,933
132,550	21,933
132,650	21,933
132,750	21,933
132,850	21,933
132,950	21,933
133,050	21,933
133,150	21,933
133,250	21,933
133,350	21,933
133,450	21,933
133,550	21,933
133,650	21,933
133,750	21,933
133,850	21,933
133,950	21,933
134,050	21,933
134,150	21,933
134,250	21,933
134,350	21,933
134,450	21,933
134,550	21,933
134,650	21,933
134,750	21,933
134,850	21,933
134,950	21,933
135,050	21,933
135,150	21,933
135,250	21,933
135,350	21,933
135,450	21,933
135,550	21,933
135,650	21,933
135,750	21,933
135,850	21,933
135,950	21,933
136,050	21,933
136,150	21,933
136,250	21,933
136,350	21,933
136,450	21,933
136,550	21,933
136,650	21,933
136,750	21,933
136,850	21,933
136,950	21,933
137,050	21,933
137,150	21,933
137,250	21,933
137,350	21,933
137,450	21,933
137,550	21,933
137,650	21,933
137,750	21,933
137,850	21,933
137,950	21,933
138,050	21,933
138,150	21,933
138,250	21,933
138,350	21,933
138,450	21,933
138,550	21,933
138,650	21,933
138,750	21,933
138,850	21,933
138,950	21,933
139,050	21,933
139,150	21,933
139,250	21,933
139,350	21,933
139,450	21,933
139,550	21,933
139,650	21,933
139,750	21,933
139,850	21,933
139,950	21,933
140,050	21,933
140,150	21,933
140,250	21,933
140,350	21,933
140,450	21,933
140,550	21,933
140,650	21,933
140,750	21,933
140,850	21,933
140,950	21,933
141,050	21,933
141,150	21,933
141,250	21,933
141,350	21,933
141,450	21,933
141,550	21,933
141,650	21,933
141,750	21,933
141,850	21,933
141,950	21,933
142,050	21,933
142,150	21,933
142,250	21,933
142,350	21,933
142,450	21,933
142,550	21,933
142,650	21,933
142,750	21,933
142,850	21,933
142,950	21,933
143,050	21,933
143,150	21,933
143,250	21,933
143,350	21,933
143,450	21,933
143,550	21,933
143,650	21,933
143,750	21,933
143,850	21,933
143,950	21,933
144,050	21,933
144,150	21,933
144,250	21,933
144,350	21,933
144,450	21,933
144,550	21,933
144,650	21,933
144,750	21,933
144,850	21,933
144,950	21,933
145,050	21,933
145,150	21,933
145,250	21,933
145,350	21,933
145,450	21,933
145,550	21,933
145,650	21,933
145,750	21,933
145,850	21,933
145,950	21,933
146,050	21,933
146,150	21,933
146,250	21,933
146,350	21,933
146,450	21,933
146,550	21,933
146,650	21,933
146,750	21,933
146,850	21,933
146,950	21,933
147,050	21,933
147,150	21,933
147,250	21,933
147,350	21,933
147,450	21,933
147,550	21,933
147,650	21,933
147,750	21,933
147,850	21,933
147,950	21,933
148,050	21,933
148,150	21,933
148,250	21,933
148,350	21,933
148,450	21,933
148,550	21,933
148,650	21,933
148,750	21,933
148,850	21,933
148,950	21,933
149,050	21,933
149,150	21,933
149,250	21,933
149,350	21,933
149,450	21,933
149,550	21,933
149,650	21,933
149,750	21,933
149,850	21,933
149,950	21,933
150,050	21,933
150,150	21,933
150,250	21,933
150,350	21,933
150,450	21,933
150,550	21,933
150,650	21,933
150,750	21,933
150,850	21,933
150,950	21,933
151,050	21,933
151,150	21,933
151,250	21,933
151,350	21,933
151,450	21,933
151,550	21,933
151,650	21,933
151,750	21,933
151,850	21,933
151,950	21,933
152,050	21,933
152,150	21,933
152,250	21,933
152,350	21,933
152,450	21,933
152,550	21,933
152,650	21,933
152,750	21,933
152,850	21,933
152,950	21,933
153,050	21,933
153,150	21,933
153,250	21,933
153,350	21,933
153,450	21,933
153,550	21,933
153,650	21,933
153,750	21,933
153,850	21,933
153,950	21,933
154,050	21,933
154,150	21,933
154,250	21,933
154,350	21,933
154,450	21,933
154,550	21,933
154,650	21,933
154,750	21,933
154,850	21,933
154,950	21,933
155,050	21,933
155,150	21,933
155,250	21,933
155,350	21,933
155,450	21,933
155,550	21,933
155,650	21,933
155,750	21,933
155,850	21,933
155,950	21,933
156,050	21,933
156,150	21,933
156,250	21,933
156,350	21,933
156,450	21,933
156,550	21,933
156,650	21,933
156,750	21,933
156,850	21,933
156,950	21,933
157,050	21,933
157,150	21,933
157,250	21,933
157,350	21,933
157,450	21,933
157,550	21,933
157,650	21,933
157,750	21,933
157,850	21,933
157,950	21,933
158,050	21,933
158,150	21,933
158,250	21,933
158,350	21,933
158,450	21,933
158,550	21,933
158,650	21,933
158,750	21,933
158,850	21,933
158,950	21,933
159,050	21,933
159,150	21,933
159,250	21,933
159,350	21,933
159,450	21,933
159,550	21,933
159,650	21,933
159,750	21,933
159,850	21,933
159,950	21,933
160,050	21,933
160,150	21,933
160,250	21,933
160,350	21,933
160,450	21,933
160,550	21,933
160,650	21,933
160,750	21,933
160,850	21,933
160,950	21,933
161,050	21,933
161,150	21,933
161,250	21,933
161,350	21,933
161,450	21,933
161,550	21,933
161,650	21,933
161,750	21,933
161,850	21,933
161,950	21,933
162,050	21,933
162,150	21,933
162,250	21,933
162,350	21,933
162,450	21,933
162,550	21,933
162,650	21,933
162,750	21,933
162,850	21,933
162,950	21,933
163,050	21,933
163,150	21,933
163,250	21,933
163,350	21,933
163,450	21,933
163,550	21,933
163,650	21,933
163,750	21,933
163,850	21,933
163,950	21,933
164,050	21,933
164,150	21,933
164,250	21,933
164,350	21,933
164,450	21,933
164,550	21,933
164,650	21,933
164,750	21,933
164,850	21,933
164,950	21,933
165,050	21,933
165,150	21,933
165,250	21,933
165,350	21,933
165,450	21,933
165,550	21,933
165,650	21,933
165,750	21,933
165,850	21,933
165,950	21,933
166,050	21,933
166,150	21,933
166,250	21,933
166,350	21,933
166,450	21,933
166,550	21,933
166,650	21,933
166,750	21,933
166,850	21,933
166,950	21,933
167,050	21,933
167,150	21,933
167,250	21,933
167,350	21,933
167,450	21,933
167,550	21,933
167,650	21,933
167,750	21,933
167,850	21,933
167,950	21,933
168,050	21,933
168,150	21,933
168,250	21,933
168,350	21,933
168,450	21,933
168,550	21,933
168,650	21,933
168,750	21,933
168,850	21,933
168,950	21,933
169,050	21,933
169,150	21,933
169,250	21,933
169,350	21,933
169,450	21,933
169,550	21,933
169,650	21,933
169,750	21,933
169,850	21,933
169,950	21,933
170,050	21,933
170,150	21,933
170,250	21,933
170,350	21,933
170,450	21,933
170,550	21,933
170,650	21,933
170,750	21,933
170,850	21,933
170,950	21,933
171,050	21,933
171,150	21,933
171,250	21,933
171,350	21,933
171,450	21,933
171,550	21,933
171,650	21,933
171,750	21,933
171,850	21,933
171,950	21,933
172,050	21,933
172,150	21,933
172,250	21,933
172,350	21,933
172,450	21,933
172,550	21,933
172,650	21,933
172,750	21,933
172,850	21,933
172,950	21,933
173,050	21,933
173,150	21,933
173,250	21,933
173,350	21,933
173,450	21,933
173,550	21,933
173,650	21,933
173,750	21,933
173,850	21,933
173,950	21,933
