Power, Run #1
Time ( s )	Input Power ( W )
105,500	1,631
105,600	1,629
105,700	1,627
105,800	1,631
105,900	1,629
106,000	1,629
106,100	1,629
106,200	1,629
106,300	1,629
106,400	1,629
106,500	1,629
106,600	1,629
106,700	1,629
106,800	1,629
106,900	1,628
107,000	1,630
107,100	1,630
107,200	1,628
107,300	1,626
107,400	1,628
107,500	1,626
107,600	1,626
107,700	1,628
107,800	1,628
107,900	1,626
108,000	1,626
108,100	1,626
108,200	1,626
108,300	1,626
108,400	1,626
108,500	1,626
108,600	1,626
108,700	1,626
108,800	1,624
108,900	1,626
109,000	1,624
109,100	1,626
109,200	1,624
109,300	1,624
109,400	1,624
109,500	1,624
109,600	1,624
109,700	1,626
109,800	1,624
109,900	1,624
110,000	1,624
110,100	1,624
110,200	1,624
110,300	1,624
110,400	1,622
110,500	1,622
110,600	1,626
110,700	1,620
110,800	7,063E-4
110,900	6,898E-4
111,000	6,789E-4
301,500	0,000
303,700	0,000
304,900	0,000
306,400	0,000
308,900	0,000
309,300	0,000
311,400	0,000
311,500	0,000
312,000	0,000
312,800	0,000
313,200	0,000
313,900	0,000
314,100	0,000
314,300	0,000
314,600	0,000
315,000	0,000
315,100	0,000
315,500	0,000
315,800	0,000
316,100	0,000
316,200	0,000
316,500	0,000
316,700	0,000
317,000	0,000
317,100	0,000
317,400	0,000
317,500	0,000
317,700	0,000
317,900	0,000
318,000	0,000
318,100	0,000
318,200	0,000
318,300	0,000
318,400	0,000
318,600	0,000
318,700	0,000
318,800	0,000
318,900	0,000
319,000	0,000
319,100	0,000
319,300	0,000
319,400	0,000
319,500	0,000
319,600	0,000
319,700	0,000
319,800	0,000
319,900	0,000
320,000	0,000
320,200	0,000
320,300	0,000
320,400	0,000
320,500	0,000
320,600	0,000
320,700	0,000
320,800	0,000
321,000	0,000
321,100	0,000
321,200	0,000
321,300	0,000
321,500	0,000
321,600	0,000
321,700	0,000
321,800	0,000
321,900	0,000
322,100	0,000
322,200	0,000
322,400	0,000
322,500	0,000
322,600	0,000
322,700	0,000
322,800	0,000
322,900	0,000
323,100	0,000
323,200	0,000
323,300	0,000
323,400	0,000
323,500	0,000
323,600	0,000
323,700	0,000
323,800	0,000
323,900	0,000
324,000	0,000
324,100	0,000
324,200	0,000
324,400	0,000
324,500	0,000
324,700	0,000
324,800	0,000
324,900	0,000
325,000	0,000
325,100	0,000
325,200	0,000
325,300	0,000
325,400	0,000
325,500	0,000
325,600	0,000
325,700	0,000
325,800	0,000
325,900	0,000
326,000	0,000
326,100	0,000
326,200	0,000
326,300	0,000
326,400	0,000
326,500	0,000
326,600	0,000
326,700	0,000
326,800	0,000
